variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
candidate,write,warm,1596.7743750000081,1.92,0.3,455852032,1,3,7,0,0,diagnostic
old,write,warm,655.3135420000035,0.17,0.03,119144448,1,3,6,114,0,timeout
old,write,warm,655.7842919999966,0.18,0.03,119783424,1,3,6,114,0,timeout
candidate,write,warm,1593.6597499999916,1.92,0.3,455622656,1,3,7,0,0,diagnostic
candidate,write,warm,1601.8561250000057,1.92,0.3,454688768,1,3,7,0,0,diagnostic
old,write,warm,653.4235420000041,0.17,0.03,119439360,1,3,6,114,0,timeout
old,write,warm,658.312459000008,0.17,0.03,119554048,1,3,6,114,0,timeout
candidate,write,warm,1589.6169589999918,1.92,0.3,456228864,1,3,7,0,0,diagnostic
candidate,write,warm,1610.2008330000099,1.92,0.3,454836224,1,3,7,0,0,diagnostic
old,write,warm,657.422458999994,0.17,0.03,119242752,1,3,6,114,0,timeout
old,write,warm,654.5078749999957,0.17,0.03,119504896,1,3,6,114,0,timeout
candidate,write,warm,1598.0895000000019,1.93,0.3,454918144,1,3,7,0,0,diagnostic
candidate,write,warm,1618.9189170000027,1.92,0.3,456196096,1,3,7,0,0,diagnostic
old,write,warm,654.515625,0.17,0.03,119603200,1,3,6,114,0,timeout
old,write,warm,671.5790840000118,0.19,0.03,119603200,1,3,6,114,0,timeout
candidate,write,warm,1624.1152500000026,1.92,0.3,465141760,1,3,7,0,0,diagnostic
candidate,write,warm,1613.2838750000083,1.92,0.3,464814080,1,3,7,0,0,diagnostic
old,write,warm,657.2557499999966,0.17,0.03,119488512,1,3,6,114,0,timeout
old,write,warm,659.1967080000031,0.17,0.03,119324672,1,3,6,114,0,timeout
candidate,write,warm,1625.9327080000076,1.92,0.3,465338368,1,3,7,0,0,diagnostic
candidate,write,warm,1616.547749999998,1.93,0.3,456261632,1,3,7,0,0,diagnostic
old,write,warm,654.7403330000088,0.17,0.03,119570432,1,3,6,114,0,timeout
old,read,cold,646.0986669999984,0.15,0.02,99532800,1,5,6,114,0,timeout
candidate,read,cold,144.42579199999454,0.15,0.02,99205120,0,1,2,0,0,read
candidate,read,cold,147.98549999999523,0.15,0.02,99188736,0,1,2,0,0,read
old,read,cold,654.9058330000116,0.15,0.02,99713024,1,5,6,114,0,timeout
old,read,cold,637.9756670000061,0.15,0.02,99647488,1,5,6,114,0,timeout
candidate,read,cold,149.5959579999908,0.15,0.02,99008512,0,1,2,0,0,read
candidate,read,cold,143.8914589999913,0.15,0.02,99057664,0,1,2,0,0,read
old,read,cold,665.7330840000068,0.18,0.02,100646912,1,5,6,114,0,timeout
old,read,cold,644.1332919999986,0.15,0.02,99811328,1,5,6,114,0,timeout
candidate,read,cold,149.45354100000986,0.15,0.02,98811904,0,1,2,0,0,read
candidate,read,cold,146.20929199999955,0.15,0.02,99008512,0,1,2,0,0,read
old,read,cold,648.9125829999975,0.15,0.02,99549184,1,5,6,114,0,timeout
old,read,cold,647.036666,0.14,0.01,99844096,1,5,6,114,0,timeout
candidate,read,cold,149.98758300000918,0.15,0.02,99188736,0,1,2,0,0,read
candidate,read,cold,151.74470799999835,0.15,0.02,98893824,0,1,2,0,0,read
old,read,cold,636.6474579999922,0.15,0.02,100139008,1,5,6,114,0,timeout
old,read,cold,640.3300420000014,0.15,0.02,99516416,1,5,6,114,0,timeout
candidate,read,cold,151.84054199999082,0.15,0.02,99270656,0,1,2,0,0,read
candidate,read,cold,145.76462499999616,0.15,0.02,99057664,0,1,2,0,0,read
old,read,cold,647.72445899999,0.15,0.02,99614720,1,5,6,114,0,timeout
old,read,cold,643.9591669999936,0.15,0.02,99647488,1,5,6,114,0,timeout
candidate,read,cold,147.56470800000534,0.16,0.02,99090432,0,1,2,0,0,read
candidate,read,cold,137.96458299999358,0.15,0.02,99008512,0,1,2,0,0,read
old,read,cold,648.3040419999888,0.15,0.02,99680256,1,5,6,114,0,timeout
old,read,cold,648.4471249999915,0.15,0.02,99647488,1,5,6,114,0,timeout
candidate,read,cold,149.20229099999415,0.15,0.02,99237888,0,1,2,0,0,read
candidate,read,cold,148.11262500000885,0.15,0.02,99155968,0,1,2,0,0,read
old,read,cold,644.4414160000015,0.15,0.02,99696640,1,5,6,114,0,timeout
old,read,cold,648.8217500000028,0.15,0.02,99762176,1,5,6,114,0,timeout
candidate,read,cold,144.77804199999082,0.15,0.02,99205120,0,1,2,0,0,read
candidate,read,cold,149.8013340000034,0.15,0.02,99106816,0,1,2,0,0,read
old,read,cold,648.3290829999896,0.15,0.02,99483648,1,5,6,114,0,timeout
old,read,cold,656.1407079999917,0.15,0.02,99860480,1,5,6,114,0,timeout
candidate,read,cold,149.7243749999907,0.15,0.02,98861056,0,1,2,0,0,read
candidate,read,cold,150.6926669999957,0.15,0.02,99172352,0,1,2,0,0,read
old,read,cold,647.6808750000055,0.15,0.02,99581952,1,5,6,114,0,timeout
old,read,cold,646.4125419999909,0.15,0.02,99614720,1,5,6,114,0,timeout
candidate,read,cold,149.41816699999617,0.15,0.02,99155968,0,1,2,0,0,read
candidate,read,cold,145.48537500000384,0.15,0.02,99106816,0,1,2,0,0,read
old,read,cold,652.8976249999978,0.15,0.02,99614720,1,5,6,114,0,timeout
old,read,cold,651.6782500000118,0.15,0.02,99614720,1,5,6,114,0,timeout
candidate,read,cold,148.63558299999568,0.15,0.02,99254272,0,1,2,0,0,read
candidate,read,cold,146.62512500000594,0.15,0.02,98893824,0,1,2,0,0,read
old,read,cold,645.6077499999956,0.15,0.02,99745792,1,5,6,114,0,timeout
old,read,cold,652.682541999995,0.15,0.02,99926016,1,5,6,114,0,timeout
candidate,read,cold,148.51816699998744,0.15,0.02,99172352,0,1,2,0,0,read
candidate,read,cold,154.88175000000047,0.15,0.02,99385344,0,1,2,0,0,read
old,read,cold,636.9707500000077,0.15,0.02,99827712,1,5,6,114,0,timeout
old,read,cold,645.9128750000091,0.15,0.02,99663872,1,5,6,114,0,timeout
candidate,read,cold,148.14679199999955,0.15,0.02,98795520,0,1,2,0,0,read
candidate,read,cold,144.42954100000497,0.15,0.02,99024896,0,1,2,0,0,read
old,read,cold,635.9256250000035,0.15,0.02,99762176,1,5,6,114,0,timeout
old,read,cold,650.0448329999927,0.15,0.02,99844096,1,5,6,114,0,timeout
candidate,read,cold,151.0696670000034,0.16,0.02,99254272,0,1,2,0,0,read
candidate,read,cold,139.13195899999118,0.16,0.02,98959360,0,1,2,0,0,read
old,read,cold,645.7320830000099,0.15,0.02,99794944,1,5,6,114,0,timeout
old,read,cold,643.9153329999972,0.15,0.02,99434496,1,5,6,114,0,timeout
candidate,read,cold,148.16537499999686,0.15,0.02,98975744,0,1,2,0,0,read
candidate,read,cold,151.99133400000574,0.15,0.02,98959360,0,1,2,0,0,read
old,read,cold,666.0008329999982,0.18,0.02,100335616,1,5,6,114,0,timeout
old,disabled,cold,143.17795800000022,0.15,0.02,99450880,0,1,2,111,0,disabled
candidate,disabled,cold,147.52091600000858,0.15,0.02,98680832,0,1,2,0,0,disabled
candidate,disabled,cold,150.15141700000095,0.15,0.02,99139584,0,1,2,0,0,disabled
old,disabled,cold,147.16104199999245,0.15,0.02,99565568,0,1,2,111,0,disabled
old,disabled,cold,144.29470800000126,0.15,0.02,99500032,0,1,2,111,0,disabled
candidate,disabled,cold,147.43183300000965,0.15,0.02,99008512,0,1,2,0,0,disabled
candidate,disabled,cold,144.04145799999242,0.15,0.02,99319808,0,1,2,0,0,disabled
old,disabled,cold,146.54320799998823,0.15,0.02,99811328,0,1,2,111,0,disabled
old,disabled,cold,145.03549999999814,0.15,0.02,99401728,0,1,2,111,0,disabled
candidate,disabled,cold,142.03337499999907,0.15,0.02,99188736,0,1,2,0,0,disabled
candidate,disabled,cold,147.82554099999834,0.15,0.02,98877440,0,1,2,0,0,disabled
old,disabled,cold,147.19970900000772,0.15,0.02,99401728,0,1,2,111,0,disabled
old,disabled,cold,147.87945799998124,0.15,0.02,99319808,0,1,2,111,0,disabled
candidate,disabled,cold,142.98529199999757,0.15,0.02,99057664,0,1,2,0,0,disabled
candidate,disabled,cold,133.93758399999933,0.15,0.02,99221504,0,1,2,0,0,disabled
old,disabled,cold,147.76291699998546,0.15,0.02,99319808,0,1,2,111,0,disabled
old,disabled,cold,149.0840409999946,0.15,0.02,99598336,0,1,2,111,0,disabled
candidate,disabled,cold,151.48429199997918,0.15,0.02,99434496,0,1,2,0,0,disabled
candidate,disabled,cold,147.56741700001294,0.16,0.02,98877440,0,1,2,0,0,disabled
old,disabled,cold,143.90366700000595,0.15,0.02,99598336,0,1,2,111,0,disabled
old,disabled,cold,149.68220899999142,0.15,0.02,99368960,0,1,2,111,0,disabled
candidate,disabled,cold,149.07120800000848,0.15,0.02,99221504,0,1,2,0,0,disabled
candidate,disabled,cold,151.6135409999988,0.15,0.02,99090432,0,1,2,0,0,disabled
old,disabled,cold,148.63829199998872,0.15,0.02,99467264,0,1,2,111,0,disabled
old,disabled,cold,149.6989590000012,0.15,0.02,99336192,0,1,2,111,0,disabled
candidate,disabled,cold,147.64912499999627,0.15,0.02,98762752,0,1,2,0,0,disabled
candidate,disabled,cold,152.34224999998696,0.15,0.02,99270656,0,1,2,0,0,disabled
old,disabled,cold,149.77966699999524,0.15,0.02,99516416,0,1,2,111,0,disabled
old,disabled,cold,147.39754199999152,0.15,0.02,99631104,0,1,2,111,0,disabled
